"Department or other unit","1976","TQ","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024 estimate","2025 estimate","2026 estimate","2027 estimate","2028 estimate","2029 estimate"
"Legislative Branch","936.0","226.0","1057.0","1087.0","1131.0","1318.0","1251.0","1414.0","1687.0","1768.0","1703.0","1720.0","1873.0","2123.0","2250.0","2248.0","2493.0","2632.0","2621.0","2612.0","2682.0","2454.0","2541.0","2627.0","2943.0","2800.0","3149.0","3613.0","3830.0","3937.0","4036.0","4219.0","4286.0","4447.0","4977.0","4893.0","4737.0","4542.0","4258.0","4462.0","4506.0","4570.0","4687.0","4981.0","5061.0","5376.0","6062.0","6315.0","7155.0","7131.0","7570.0","7737.0","7914.0","8084.0","8269.0"
"Judicial Branch","346.0","87.0","431.0","459.0","521.0","609.0","656.0","733.0","823.0","904.0","1055.0","1045.0","1273.0","1344.0","1481.0","1752.0","2118.0","2445.0","2613.0","2832.0","2998.0","3174.0","3386.0","3543.0","3807.0","4067.0","4459.0","4970.0","5168.0","5440.0","5726.0","5993.0","6180.0","6518.0","6787.0","7214.0","7205.0","7240.0","6926.0","7284.0","7404.0","7596.0","7760.0","7908.0","8134.0","8413.0","8664.0","8965.0","9580.0","9462.0","10454.0","10611.0","10841.0","11072.0","11310.0"
"Department of Agriculture","20690.0","4233.0","21841.0","26659.0","37250.0","39559.0","47410.0","57400.0","69831.0","46734.0","61823.0","59154.0","52421.0","55134.0","55627.0","55214.0","59957.0","66170.0","67730.0","65458.0","58437.0","58592.0","60727.0","58134.0","67560.0","75162.0","73082.0","71209.0","78750.0","93037.0","95023.0","97339.0","91821.0","92950.0","127826.0","130983.0","140677.0","151789.0","154924.0","157510.0","142471.0","168801.0","136547.0","142537.0","166709.0","235204.0","275050.0","293537.0","290999.0","219459.0","223002.0","232711.0","229882.0","234917.0","239274.0"
"Department of Commerce","1732.0","357.0","7814.0","1892.0","2086.0","2610.0","2072.0","1834.0","1923.0","2015.0","2309.0","1980.0","2155.0","2449.0","2807.0","3683.0","2648.0","3022.0","3159.0","3811.0","4025.0","3612.0","3758.0","4100.0","5431.0","8733.0","5167.0","5545.0","5800.0","5877.0","6476.0","6638.0","7766.0","9585.0","25713.0","13679.0","5704.0","7978.0","7959.0","10113.0","13817.0","10351.0","9486.0","18269.0","12520.0","17388.0","14297.0","84861.0","44970.0","19002.0","11000.0","21808.0","15482.0","13708.0","16496.0"
"Department of Defense--Military Programs","95503.0","22925.0","107906.0","114531.0","123595.0","140651.0","176100.0","211486.0","238834.0","258108.0","286789.0","281398.0","279417.0","283710.0","290785.0","292936.0","275676.0","281827.0","267334.0","251294.0","255658.0","254525.0","257943.0","258250.0","278402.0","290307.0","318651.0","344878.0","439339.0","471796.0","483846.0","532926.0","602984.0","674694.0","667557.0","695646.0","691471.0","655397.0","585239.0","595723.0","570843.0","595715.0","626231.0","694617.0","712274.0","738739.0","719495.0","795548.0","874357.0","895287.0","872170.0","899837.0","918107.0","936994.0","956624.0"
"Department of Education","9314.0","3227.0","10568.0","11625.0","13996.0","15209.0","16752.0","15374.0","15267.0","15336.0","18952.0","17750.0","19475.0","20098.0","22819.0","24549.0","27360.0","28685.0","31324.0","26881.0","32245.0","29097.0","33519.0","35298.0","33643.0","31816.0","39734.0","55838.0","63001.0","67161.0","74476.0","100019.0","68265.0","65399.0","131891.0","62911.0","43628.0","57458.0","39495.0","55200.0","87258.0","76977.0","114844.0","72114.0","106293.0","230750.0","469465.0","565388.0","-100326.0","196388.0","278488.0","141114.0","145032.0","152682.0","158551.0"
"Department of Energy","4970.0","1315.0","7021.0","10467.0","9805.0","10767.0","11241.0","12485.0","11892.0","10952.0","12617.0","10558.0","10124.0","11162.0","11696.0","13983.0","16102.0","17197.0","17712.0","17159.0","15019.0","14128.0","14073.0","14371.0","16353.0","15291.0","17666.0","18447.0","20552.0","21988.0","21093.0","21085.0","21686.0","22739.0","68557.0","23026.0","22648.0","22721.0","21221.0","22174.0","25393.0","27335.0","27501.0","31454.0","32295.0","35891.0","36626.0","91689.0","48631.0","59226.0","60911.0","60168.0","52326.0","51605.0","52785.0"
"Department of Health and Human Services","40368.0","10154.0","47035.0","51891.0","59726.0","70002.0","80788.0","86307.0","91478.0","103715.0","113981.0","123589.0","133443.0","142396.0","155160.0","184673.0","201473.0","251439.0","257702.0","307700.0","301969.0","318434.0","353652.0","359307.0","364973.0","392122.0","434443.0","478236.0","515464.0","556305.0","591392.0","684554.0","658365.0","721693.0","851721.0","889608.0","889186.0","874458.0","873330.0","960955.0","1045165.0","1119006.0","1144013.0","1176362.0","1283975.0","1721365.0","1675810.0","1635325.0","1799739.0","1700979.0","1834264.0","1955244.0","2096149.0","2310591.0","2335505.0"
"Department of Homeland Security","2423.0","621.0","2881.0","3314.0","3969.0","4424.0","3971.0","4563.0","4981.0","5231.0","5056.0","5139.0","5927.0","6152.0","7110.0","7292.0","6574.0","11158.0","9091.0","12476.0","11442.0","11667.0","13189.0","11243.0","13042.0","13840.0","16400.0","30570.0","30844.0","31650.0","100689.0","32285.0","39702.0","50624.0","46001.0","45423.0","41648.0","45911.0","61873.0","44146.0","45269.0","46021.0","62277.0","102988.0","61407.0","114212.0","123224.0","78038.0","86827.0","112260.0","88297.0","76431.0","76933.0","79781.0","81036.0"
"Department of Housing and Urban Development","29200.0","400.0","33818.0","37994.0","31142.0","35852.0","34220.0","20911.0","16561.0","18148.0","31398.0","15928.0","14657.0","14949.0","14347.0","17315.0","27634.0","24966.0","26468.0","26322.0","19800.0","20821.0","16091.0","20976.0","26303.0","24277.0","32296.0","34481.0","34371.0","35077.0","35029.0","52405.0","35364.0","50930.0","61810.0","45075.0","48528.0","40115.0","68969.0","42676.0","44115.0","48843.0","60734.0","81310.0","56769.0","73755.0","69382.0","67751.0","75706.0","70204.0","105714.0","79908.0","81984.0","84137.0","85201.0"
